epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,669.766,0.44359,0.32888,0.82641,0.97647,0.98949,0.98744,0.94189,0.32806,0.24769,0.77885,0.0009365,0.0009365,0.0009365
40,689.154,0.43794,0.32666,0.82385,0.9738,0.9892,0.988,0.94493,0.30854,0.25714,0.77685,0.00092825,0.00092825,0.00092825
41,708.518,0.43624,0.32771,0.82564,0.97906,0.98643,0.98826,0.94521,0.30443,0.24887,0.77763,0.00092,0.00092,0.00092
42,727.864,0.45088,0.33145,0.82537,0.97551,0.98512,0.98813,0.94275,0.32002,0.25276,0.77634,0.00091175,0.00091175,0.00091175
43,747.884,0.43945,0.32628,0.82481,0.98042,0.98409,0.98972,0.94746,0.30035,0.24532,0.77637,0.0009035,0.0009035,0.0009035
44,767.16,0.43705,0.31707,0.82634,0.97406,0.98845,0.98984,0.94598,0.31484,0.2455,0.77687,0.00089525,0.00089525,0.00089525
45,786.77,0.43718,0.32277,0.82543,0.98563,0.98913,0.98804,0.94422,0.29474,0.235,0.77573,0.000887,0.000887,0.000887
46,805.928,0.42851,0.31335,0.82406,0.98524,0.98836,0.98889,0.94839,0.29284,0.23463,0.77368,0.00087875,0.00087875,0.00087875
47,825.405,0.4342,0.31188,0.82141,0.97595,0.98689,0.98821,0.94254,0.29968,0.24035,0.77449,0.0008705,0.0008705,0.0008705
48,844.443,0.43387,0.31751,0.82424,0.98054,0.98654,0.98949,0.94153,0.30382,0.23823,0.77722,0.00086225,0.00086225,0.00086225
49,863.483,0.43359,0.31619,0.82489,0.97588,0.98916,0.98881,0.94991,0.29443,0.23537,0.77275,0.000854,0.000854,0.000854
50,883.107,0.4317,0.31147,0.81977,0.98277,0.98755,0.98818,0.9418,0.29241,0.23488,0.77426,0.00084575,0.00084575,0.00084575
51,902.157,0.42644,0.31937,0.8225,0.97916,0.98677,0.98814,0.94762,0.29961,0.24093,0.77562,0.0008375,0.0008375,0.0008375
52,921.125,0.42516,0.31081,0.81858,0.98105,0.98466,0.98891,0.95043,0.29368,0.23636,0.77301,0.00082925,0.00082925,0.00082925
53,940.206,0.42605,0.30495,0.8209,0.98596,0.98513,0.9905,0.95125,0.28314,0.22287,0.77276,0.000821,0.000821,0.000821
54,959.441,0.42382,0.30704,0.82196,0.98728,0.98748,0.9895,0.94638,0.2869,0.22603,0.77521,0.00081275,0.00081275,0.00081275
55,978.864,0.41881,0.29856,0.82072,0.98448,0.98434,0.989,0.95408,0.28382,0.22963,0.7735,0.0008045,0.0008045,0.0008045
56,998.096,0.41349,0.30398,0.82119,0.98021,0.98515,0.98806,0.94706,0.28552,0.23145,0.77366,0.00079625,0.00079625,0.00079625
57,1017.81,0.42296,0.30538,0.8213,0.97375,0.98753,0.98859,0.94954,0.29005,0.2321,0.7749,0.000788,0.000788,0.000788
58,1037,0.41663,0.30501,0.82004,0.9853,0.98417,0.99015,0.95335,0.28929,0.22339,0.77394,0.00077975,0.00077975,0.00077975
59,1056.24,0.41856,0.29838,0.82195,0.98447,0.9885,0.99013,0.9532,0.28476,0.22094,0.77344,0.0007715,0.0007715,0.0007715
60,1075.48,0.41323,0.29716,0.81944,0.98852,0.98679,0.98882,0.95113,0.28548,0.21889,0.77305,0.00076325,0.00076325,0.00076325
61,1094.99,0.41612,0.29716,0.81903,0.98692,0.98965,0.98681,0.94691,0.29477,0.22359,0.7748,0.000755,0.000755,0.000755
62,1114.24,0.41338,0.29348,0.81871,0.98968,0.97965,0.98826,0.95221,0.27743,0.22344,0.77148,0.00074675,0.00074675,0.00074675
63,1133.24,0.41276,0.29395,0.81998,0.98639,0.98948,0.98786,0.94735,0.2865,0.21761,0.77258,0.0007385,0.0007385,0.0007385
64,1152.59,0.41039,0.29256,0.81741,0.98643,0.98947,0.98905,0.95214,0.27994,0.22079,0.77272,0.00073025,0.00073025,0.00073025
65,1171.85,0.40627,0.29207,0.81642,0.98445,0.98889,0.98838,0.95346,0.28068,0.22305,0.77181,0.000722,0.000722,0.000722
66,1190.88,0.40279,0.28884,0.81852,0.98459,0.98804,0.98766,0.95112,0.27799,0.22395,0.77178,0.00071375,0.00071375,0.00071375
67,1223.09,0.40626,0.29031,0.81812,0.98241,0.98502,0.98886,0.95322,0.2745,0.21645,0.77019,0.0007055,0.0007055,0.0007055
68,1260.05,0.40363,0.28982,0.81687,0.98535,0.98931,0.98679,0.95098,0.27609,0.21763,0.77151,0.00069725,0.00069725,0.00069725
69,1297.12,0.4072,0.29477,0.81793,0.98184,0.99132,0.98886,0.95544,0.2759,0.21129,0.77196,0.000689,0.000689,0.000689
70,1331.24,0.40192,0.28294,0.82079,0.98347,0.98959,0.98889,0.95375,0.27574,0.21601,0.77076,0.00068075,0.00068075,0.00068075
71,1348.88,0.40107,0.28422,0.8157,0.98416,0.98835,0.98983,0.95802,0.27166,0.2157,0.77054,0.0006725,0.0006725,0.0006725
72,1365.15,0.40744,0.29269,0.81589,0.98217,0.98992,0.98891,0.95487,0.27186,0.21527,0.76967,0.00066425,0.00066425,0.00066425
73,1381.44,0.40206,0.28713,0.81807,0.97916,0.98782,0.98767,0.95109,0.26477,0.21233,0.77038,0.000656,0.000656,0.000656
74,1397.7,0.39673,0.28139,0.81483,0.97997,0.98987,0.98995,0.95589,0.27479,0.20963,0.77118,0.00064775,0.00064775,0.00064775
75,1415.27,0.39259,0.27948,0.81652,0.98457,0.98238,0.98894,0.95904,0.26403,0.21115,0.76931,0.0006395,0.0006395,0.0006395
76,1433.26,0.39204,0.28416,0.81498,0.98174,0.98894,0.98797,0.95588,0.27287,0.21315,0.77034,0.00063125,0.00063125,0.00063125
77,1451.58,0.39338,0.27509,0.81434,0.98086,0.98992,0.98921,0.95524,0.27542,0.21134,0.77229,0.000623,0.000623,0.000623
78,1470.92,0.40188,0.27985,0.81522,0.98231,0.98992,0.98953,0.95921,0.26351,0.20918,0.77005,0.00061475,0.00061475,0.00061475
79,1490.48,0.39203,0.27799,0.81612,0.97775,0.98404,0.98998,0.95855,0.26658,0.21402,0.76993,0.0006065,0.0006065,0.0006065
80,1510.26,0.39111,0.27334,0.81576,0.98266,0.99058,0.98946,0.95685,0.26711,0.20519,0.77054,0.00059825,0.00059825,0.00059825
81,1544.08,0.38948,0.27253,0.81396,0.98241,0.98912,0.98867,0.95963,0.26453,0.21043,0.77008,0.00059,0.00059,0.00059
82,1580.37,0.3942,0.27154,0.81574,0.98689,0.98574,0.98832,0.95614,0.26587,0.20447,0.77004,0.00058175,0.00058175,0.00058175
83,1616.32,0.39504,0.27797,0.81434,0.98522,0.98815,0.98854,0.95834,0.25987,0.20401,0.76857,0.0005735,0.0005735,0.0005735
84,1652.59,0.38731,0.26757,0.81369,0.98644,0.98965,0.98938,0.96185,0.25521,0.20213,0.76836,0.00056525,0.00056525,0.00056525
85,1688.68,0.39237,0.27481,0.81458,0.98213,0.98873,0.98827,0.95716,0.25929,0.20264,0.76935,0.000557,0.000557,0.000557
86,1725.1,0.38776,0.26742,0.81303,0.98519,0.99194,0.98827,0.95762,0.26543,0.19884,0.76862,0.00054875,0.00054875,0.00054875
87,1761.5,0.38607,0.27088,0.81203,0.98025,0.98907,0.98782,0.95611,0.26179,0.20432,0.7683,0.0005405,0.0005405,0.0005405
88,1797.96,0.38594,0.272,0.81426,0.98206,0.98809,0.98908,0.96129,0.2535,0.19696,0.76853,0.00053225,0.00053225,0.00053225
89,1833.7,0.38194,0.26169,0.81339,0.98701,0.98702,0.98671,0.95614,0.25975,0.20818,0.76918,0.000524,0.000524,0.000524
90,1869.5,0.38031,0.2656,0.81635,0.98305,0.98822,0.98697,0.9563,0.26038,0.20784,0.76847,0.00051575,0.00051575,0.00051575
91,1905.55,0.38303,0.26387,0.8148,0.98243,0.98952,0.98706,0.95343,0.26345,0.20503,0.7702,0.0005075,0.0005075,0.0005075
92,1941.75,0.38252,0.25959,0.81499,0.98923,0.98473,0.98736,0.95886,0.25474,0.19943,0.76828,0.00049925,0.00049925,0.00049925
93,1978.01,0.38664,0.26254,0.81609,0.97943,0.9879,0.98851,0.95574,0.25708,0.1998,0.76862,0.000491,0.000491,0.000491
94,2014.26,0.37916,0.26211,0.81237,0.98298,0.98909,0.98789,0.95639,0.2705,0.20348,0.76982,0.00048275,0.00048275,0.00048275
95,2050.21,0.37824,0.25963,0.81199,0.9786,0.98992,0.98807,0.9589,0.25772,0.20619,0.76874,0.0004745,0.0004745,0.0004745
96,2086.36,0.37883,0.262,0.81048,0.98482,0.98176,0.98794,0.95911,0.2616,0.2036,0.76863,0.00046625,0.00046625,0.00046625
97,2105.38,0.37072,0.25748,0.81258,0.98282,0.98704,0.98842,0.96231,0.25738,0.20101,0.76877,0.000458,0.000458,0.000458
98,2120.34,0.37746,0.25883,0.81158,0.98118,0.98511,0.98677,0.95696,0.25247,0.20026,0.76844,0.00044975,0.00044975,0.00044975
99,2136.3,0.37786,0.25855,0.81243,0.97891,0.98533,0.98773,0.95886,0.25534,0.20289,0.76833,0.0004415,0.0004415,0.0004415
100,2152.44,0.37579,0.25728,0.81305,0.98563,0.98663,0.98736,0.96212,0.24937,0.1961,0.76778,0.00043325,0.00043325,0.00043325
101,2168.83,0.3716,0.2553,0.81383,0.98076,0.98454,0.98814,0.9606,0.25112,0.19779,0.76731,0.000425,0.000425,0.000425
102,2185.01,0.37251,0.25318,0.81324,0.98091,0.98739,0.98918,0.96269,0.24911,0.19837,0.76751,0.00041675,0.00041675,0.00041675
103,2202,0.37096,0.25496,0.81137,0.98372,0.98698,0.98889,0.96282,0.25051,0.19733,0.76799,0.0004085,0.0004085,0.0004085
104,2220.3,0.37024,0.25142,0.81218,0.98245,0.98519,0.9885,0.9596,0.25442,0.19845,0.76776,0.00040025,0.00040025,0.00040025
105,2238.92,0.36838,0.24998,0.81302,0.98362,0.98473,0.98856,0.96138,0.24666,0.19367,0.76747,0.000392,0.000392,0.000392
106,2257.93,0.37077,0.25169,0.81156,0.98254,0.98866,0.98898,0.9624,0.24501,0.1958,0.76661,0.00038375,0.00038375,0.00038375
107,2277.05,0.3686,0.2535,0.81052,0.9789,0.99064,0.989,0.96498,0.24577,0.19597,0.76649,0.0003755,0.0003755,0.0003755
108,2295.73,0.36797,0.25206,0.80916,0.98174,0.9879,0.98928,0.96188,0.24334,0.19282,0.76654,0.00036725,0.00036725,0.00036725
109,2314.34,0.36423,0.24999,0.8119,0.97865,0.98812,0.98939,0.96403,0.24571,0.19514,0.7667,0.000359,0.000359,0.000359
110,2333.38,0.36833,0.24561,0.81114,0.98082,0.9832,0.98815,0.96342,0.24529,0.19493,0.76695,0.00035075,0.00035075,0.00035075
111,2352.15,0.36194,0.24621,0.80958,0.97984,0.98402,0.989,0.96462,0.24161,0.19633,0.76643,0.0003425,0.0003425,0.0003425
112,2371.03,0.36583,0.25149,0.81115,0.98367,0.985,0.98786,0.96112,0.24583,0.19252,0.7666,0.00033425,0.00033425,0.00033425
113,2390.17,0.3624,0.24525,0.81204,0.98468,0.98503,0.9872,0.96256,0.24323,0.19124,0.76633,0.000326,0.000326,0.000326
114,2409.43,0.35906,0.24439,0.80719,0.98422,0.98272,0.98737,0.96207,0.24477,0.19591,0.76643,0.00031775,0.00031775,0.00031775
115,2424.7,0.36547,0.24849,0.80926,0.98457,0.98531,0.9879,0.96127,0.2464,0.19444,0.76673,0.0003095,0.0003095,0.0003095
116,2440.06,0.35961,0.24243,0.809,0.98516,0.98601,0.98801,0.96193,0.2445,0.189,0.76631,0.00030125,0.00030125,0.00030125
117,2454.83,0.35838,0.24176,0.80916,0.98537,0.9846,0.98649,0.96025,0.243,0.19158,0.76601,0.000293,0.000293,0.000293
